id,question,answer,category
1,"What are your membership plans?","We offer 3 plans: Basic (₹999/month), Premium (₹1,499/month), and Elite (₹1,999/month). Basic includes gym access, Premium adds classes, Elite includes personal training.","Membership"
2,"Do you offer annual memberships?","Yes! Annual membership is ₹10,999 (saves ₹1,000), Annual Premium is ₹16,999, and Annual Elite is ₹21,999.","Membership"
3,"Is there a registration fee?","Yes, there's a one-time registration fee of ₹500. This includes fitness assessment and orientation.","Membership"
4,"Can I freeze my membership?","Yes, you can freeze for up to 3 months per year at no additional cost. Just notify us 7 days in advance.","Membership"
5,"What is your cancellation policy?","You can cancel anytime without penalty for monthly plans. Annual plans have a 15-day notice period. Full refund if cancelled within 30 days.","Membership"
6,"What are your gym timings?","We're open 5 AM to 11 PM, Monday to Sunday, including holidays. Guided classes run from 6-9 AM and 4-8 PM.","Timings"
7,"Are you open on weekends and holidays?","Yes! We're open on all weekends and national holidays with same timings (5 AM - 11 PM).","Timings"
8,"Can I access the gym 24/7?","No, but Elite members get access until 11 PM (latest). We offer 24/7 access only upon special request for ₹500 extra/month.","Timings"
9,"What equipment do you have?","We have cardio machines (treadmills, ellipticals, bikes), free weights (dumbbells up to 50kg), cable machines, squat racks, and functional training area.","Facilities"
10,"Do you have locker facilities?","Yes, we provide free lockers for all members. Bring your own lock or rent one for ₹50/month.","Facilities"
11,"Is there a shower and changing room?","Yes! All members have access to clean shower rooms, changing areas, and complimentary towels.","Facilities"
12,"Do you have a sauna or steam room?","We have a steam room available for Premium and Elite members only. Basic members can use it for ₹100/visit.","Facilities"
13,"What is your parking facility?","Free parking available for all members in our basement. We have 50 spaces with CCTV security.","Facilities"
14,"What group classes do you offer?","We offer Yoga, Zumba, CrossFit, Spinning, Pilates, and HIIT. Each class is 45-60 minutes with experienced instructors.","Classes"
15,"Are group classes included in membership?","Yes! Basic plan includes 2 free classes per week. Premium includes unlimited classes. Elite includes private sessions too.","Classes"
16,"Do you offer personal training?","Yes! Personal training sessions cost ₹500 per session or ₹4,500 for 10 sessions. Elite members get 2 free sessions per month.","Classes"
17,"How do I book group classes?","Book through our mobile app or at reception up to 24 hours in advance. Walk-ins are welcome if space available.","Classes"
18,"Can I try a free trial class?","Yes! New members can attend 1 free trial class before joining. Email us or call to schedule your trial.","Classes"
19,"What payment methods do you accept?","We accept Cash, Debit/Credit Card, UPI, and net banking. All payments processed securely.","Payment"
20,"Can I pay in installments?","Yes! Annual memberships can be paid in 3 or 12 monthly installments with 0% interest.","Payment"
21,"How will I receive billing invoices?","Invoices are emailed automatically at the start of each billing cycle. You can also download from app.","Payment"
22,"Do you offer corporate memberships?","Yes! Corporate members get 20% discount for 10+ employees. Separate billing with admin dashboard.","Payment"
23,"How often is the gym cleaned?","We clean equipment and floors every 2 hours. Deep cleaning happens daily at 11 PM. All equipment sanitized with hospital-grade disinfectant.","Hygiene"
24,"What COVID-19 safety measures do you have?","Masks optional. Regular sanitization every 2 hours. Social distancing maintained in classes. Hand sanitizers available throughout gym.","Hygiene"
25,"Do you have a hygiene guarantee?","100% equipment hygiene guaranteed. Report any uncleaned equipment and get ₹50 gym credit.","Hygiene"
26,"Is your gym insured?","Yes, we have comprehensive liability insurance. Your safety is our priority with trained first-aid staff on-site.","Safety"
27,"Can I bring a guest to the gym?","Yes! All members get 2 free guest passes per month. Guest must be accompanied by member at all times.","Policies"
28,"Is there a dress code?","Wear comfortable workout clothes and proper gym shoes. No outdoor clothes or formal wear on gym floor.","Policies"
29,"What are your behavior policies?","Be respectful to all members and staff. No loud music/noise. Proper equipment usage required. Violation = membership cancellation.","Policies"
30,"Do you offer nutrition guidance?","Yes! Premium and Elite members get monthly nutrition consultation. Others can book for ₹500/session.","Services"
31,"Do you have a merchandise shop?","Yes, we sell gym wear, supplements, and accessories at competitive prices with member discounts (10-20%).","Services"
32,"Can I get a fitness assessment?","Yes! Included in registration for all members. Reassessment available every 3 months for ₹200.","Services"
33,"How many members do you have?","We have 2,500+ active members. Join our growing fitness community!","General"
34,"Do you have morning/evening batch timings?","Yes! Separate morning (5-9 AM) and evening (4-8 PM) batches for classes with different instructors.","Timings"
35,"Can I transfer my membership to someone else?","No, memberships are non-transferable. However, you can gift a new membership.","Membership"
36,"Do you have special programs for seniors/kids?","Yes, we have senior fitness programs (₹799/month) and kids training (ages 8-16) for ₹599/month.","Programs"
37,"What should I bring on my first day?","Bring your ID proof, workout clothes, shoes, water bottle, and towel.","General"
38,"Do you provide water bottles/towels?","Towels are complimentary. Reusable water bottles available at ₹200 or bring your own.","Facilities"
39,"How long is a typical workout session?","Most members workout 45-90 minutes. No time limit - stay as long as you like during operating hours.","General"
40,"Can I get a refund if I'm not satisfied?","Yes, 100% refund within 30 days if unsatisfied, no questions asked.","Payment"
41,"Do you have changing room lockers with cameras?","No cameras in changing rooms for privacy. Lockers are monitored by CCTV outside.","Policies"
